"","option_name","option_short"
"1","Arbetsmarknadsutskottet","AU"
"2","Civilutskottet","CiU"
"3","Finansutskottet","FiU"
"4","Försvarsutskottet","FöU"
"5","Justitieutskottet","JuU"
"6","Konstitutionsutskottet","KU"
"7","Kulturutskottet","KrU"
"8","Miljö- och jordbruksutskottet","MJU"
"9","Näringsutskottet","NU"
"10","Skatteutskottet","SkU"
"11","Socialförsäkringsutskottet","SfU"
"12","Socialutskottet","SoU"
"13","Trafikutskottet","TU"
"14","Utbildningsutskottet","UbU"
"15","Utrikesutskottet","UU"
"16","EU-nämnden","EU"
